"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"New York","NY","New York","Queens",0,2202,0.00731930466605672,-0.00631768953068592,0.0128794848206072,518296
2015-08-31,"Los Angeles","CA","Los Angeles","Los Angeles",1,2613,0.00461361014994233,0.0127906976744186,0.0717801476620181,586354
2015-08-31,"Chicago","IL","Chicago","Cook",2,1579,0.0141297366730893,0.00959079283887468,-0.0612366230677765,573290
2015-08-31,"Houston","TX","Houston","Harris",3,1410,0.00284495021337127,0.0143884892086331,0.0585585585585586,478230
2015-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",4,1194,-0.00167224080267559,-0.00167224080267559,0.0231362467866324,475193
2015-08-31,"Phoenix","AZ","Phoenix","Maricopa",5,1197,0.00419463087248322,0.010126582278481,0.0536971830985915,415175
2015-08-31,"Las Vegas","NV","Las Vegas","Clark",6,1196,0.0016750418760469,0.00504201680672269,0.0248500428449015,429366
2015-08-31,"San Antonio","TX","San Antonio","Bexar",7,1247,0.00321802091713596,0.0138211382113821,0.0576759966072943,288616
2015-08-31,"San Diego","CA","San Diego","San Diego",8,2359,-0.000423728813559322,0.00254993625159371,0.0493772241992883,313351
2015-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1284,0.0015600624024961,0.00626959247648903,0.0464547677261614,267260
2015-08-31,"San Jose","CA","San Jose","Santa Clara",10,3231,0.00528935905413814,0.0302933673469388,0.128536500174642,210136
2015-08-31,"Jacksonville","FL","Jacksonville","Duval",11,1136,0.00709219858156028,0.0133809099018733,0.0317892824704814,264118
2015-08-31,"Indianapolis","IN","Indianapolis","Marion",12,1089,0.00461254612546125,0.00554016620498615,0.0187090739008419,249954
2015-08-31,"San Francisco","CA","San Francisco","San Francisco",13,4310,0.00606909430438842,0.0145951035781544,0.138705416116248,141923
2015-08-31,"Austin","TX","Austin","Travis",14,1885,0.0107238605898123,0.0283687943262411,0.0673839184597961,151102
2015-08-31,"Columbus","OH","Columbus","Franklin",15,1151,0.00524017467248908,0.0123131046613896,0.0677179962894249,220212
2015-08-31,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,1300,0.00541376643464811,0.0116731517509728,0.045016077170418,201245
2015-08-31,"Detroit","MI","Detroit","Wayne",17,749,0.00133689839572192,-0.00398936170212766,0.00133689839572192,323089
2015-08-31,"Charlotte","NC","Charlotte","Mecklenburg",18,1239,0,0.0048661800486618,0.0429292929292929,230914
2015-08-31,"Memphis","TN","Memphis","Shelby",19,854,-0.00116959064327485,-0.00813008130081301,-0.0115740740740741,193551
2015-08-31,"El Paso","TX","El Paso","El Paso",20,1056,0.00380228136882129,0.0114942528735632,0.0282375851996105,158744
2015-08-31,"Baltimore","MD","Baltimore","Baltimore City",21,1322,-0.00151057401812689,-0.00301659125188537,0.0263975155279503,212890
2015-08-31,"Boston","MA","Boston","Suffolk",22,2495,-0.000400641025641026,-0.00795228628230616,0.00402414486921529,89431
2015-08-31,"Seattle","WA","Seattle","King",23,2372,0.00721868365180467,0.034001743679163,0.104797391709362,183154
2015-08-31,"Washington","DC","Washington","District of Columbia",24,2525,-0.00158165282720443,0.00397614314115308,0.0173247381144239,145425
2015-08-31,"Denver","CO","Denver","Denver",25,1908,0.0132766861391397,0.0409165302782324,0.104806022003474,189377
2015-08-31,"Nashville","TN","Nashville","Davidson",26,1437,0.00842105263157895,0.0213219616204691,0.0977845683728037,167350
2015-08-31,"Milwaukee","WI","Milwaukee","Milwaukee",27,1077,0.00372786579683131,0.00279329608938547,0.0276717557251908,103962
2015-08-31,"Portland","OR","Portland","Multnomah",28,1771,0.0056785917092561,0.0344626168224299,0.15,180201
