"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"New York","NY","New York","Queens",0,571700,0.00474516695957821,0.0170788115993595,0.0542135349437581,0.038983000651337,0.0251403628952087,"2015-08","2015-Q3",571700,0,"2015-08"
2015-08-31,"Los Angeles","CA","Los Angeles","Los Angeles",1,546600,0.00588884799411115,0.0176875814559672,0.0615653524956302,0.0593013717070174,-0.00159585540426332,"2006-08","2006-Q3",602100,-0.0921773791728949,"2005-08"
2015-08-31,"Chicago","IL","Chicago","Cook",2,194800,0.00671834625322997,0.0372736954206603,0.0650628758884636,-0.00475681935259109,-0.0175361043872826,"2006-12","2006-Q4",245000,-0.204897959183673,"2003-07"
2015-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",3,120100,0.00418060200668896,0.0160744500846024,0.0535087719298246,0.00370442880681821,0.0161708613251652,"2007-09","2007-Q3",122800,-0.0219869706840391,"2007-03"
2015-08-31,"Phoenix","AZ","Phoenix","Maricopa",4,178500,0.00676818950930626,0.0205831903945112,0.0805084745762712,0.0866722731095253,-0.019882040003704,"2006-06","2006-Q2",246400,-0.275568181818182,"2005-03"
2015-08-31,"Las Vegas","NV","Las Vegas","Clark",5,185200,0.00597501357957632,0.0232044198895028,0.0717592592592593,0.0765107487334888,-0.0413451958282425,"2006-07","2006-Q3",299600,-0.381842456608812,"2004-01"
2015-08-31,"San Diego","CA","San Diego","San Diego",6,510100,0.00235802711731185,0.00671008486283797,0.054143418061583,0.0468119124775719,-0.00451249779013019,"2005-10","2005-Q4",536200,-0.0486758672137262,"2004-08"
2015-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",7,128200,0.0126382306477093,0.0439739413680782,0.142602495543672,0.0532666828691508,0.00961596628721306,"2015-08","2015-Q3",128200,0,"2015-08"
2015-08-31,"San Jose","CA","San Jose","Santa Clara",8,788400,0.00818414322250639,0.0295116218333769,0.100963552576456,0.0857971302062215,0.0162089062758652,"2015-08","2015-Q3",788400,0,"2015-08"
2015-08-31,"Jacksonville","FL","Jacksonville","Duval",9,129300,0.0125293657008614,0.0327476038338658,0.0624486442070666,0.0111938359523811,-0.0187227064237301,"2006-11","2006-Q4",179200,-0.278459821428571,"2004-07"
